star_name,gaiadr3,vsini,e_vsini
TIC 425934574,4901229043960053248,21.3,4.62
TIC 212960381,2526790940262580864,14.2,3.77
TIC 229092427,4934923028038871296,5.1,2.26
TIC 10802452,2470272812780609280,4.1,2.02
TIC 231064749,4714764481913306496,33.3,5.77
TIC 118301927,107774198474602368,8.1,2.85
TIC 4748040,5173902189571919872,7.7,2.77
TIC 30016911,5160075762132996992,4.1,2.02
TIC 23220549,5166951386298774144,6.8,2.61
TIC 311092847,3263836568394170880,4.9,2.21
TIC 140143053,4842770347173769728,31.5,5.61
TIC 448847484,3284145132275338496,24.5,4.95
TIC 317721019,2995725777563537792,17.0,4.12
TIC 280112043,3105749748629384576,10.1,3.18
TIC 167656187,5480006192386819456,42.8,6.54
TIC 167814656,5479222240596469632,5.2,2.28
TIC 165962902,3362140260902553984,36.0,6.0
TIC 173673173,5586381090520538880,4.3,2.07
TIC 283397452,5643811086797924992,7.3,2.7
TIC 382969293,5317114850417299584,11.1,3.33
TIC 277895096,3855524182352238336,9.4,3.07
TIC 188043641,5455707157211784832,4.8,2.19
TIC 56773393,3597946884714211200,41.2,6.42
TIC 72408098,3946438125929224320,5.1,2.26
TIC 101969923,6164998500516764160,5.6,2.37
TIC 86433449,1226844321337777536,38.1,6.17
TIC 254425584,5989102478619519616,69.1,8.31
TIC 291067698,4456798781792997888,4.8,2.19
TIC 313723578,6723753061177741312,46.7,6.83
TIC 305065042,6644606950022464640,6.9,2.63
TIC 360689837,6643589352010758400,18.5,4.3
TIC 112995114,6746284390882038656,6.4,2.53
TIC 281446108,4298143102210310272,4.9,2.21
TIC 29495621,6802426038708609536,14.1,3.75
TIC 79403675,6463782435948431616,15.0,3.87
TIC 155782207,6843672087120107264,32.7,5.72
TIC 80080066,6612887104710588928,16.5,4.06
TIC 176017171,2629041948233065216,18.2,4.27
TIC 325178532,6382640367603744128,7.3,2.7
TIC 234968549,6489909443564308224,8.8,2.97
TIC 184281898,2423493369021649920,7.0,2.65
TIC 32869782,2915523482424724224,7.4,2.72
TIC 311180437,1237090738916392704,4.4,2.1
TIC 268215639,1784061008815679232,6.1,2.47
